Title,US Gross,,,,
Indiana Jones and the Last Crusade,197171806,,,,
Neal n' Nikki,100358,,,,
A Nightmare on Elm Street 4: The Dream Master,49369899,,,,
"Next Stop, Wonderland",3386698,,,,
Nighthawks,14600000,,,,
The English Patient,78716374,,,,
Niagara,2500000,,,,
The Naked Gun 2Ω: The Smell of Fear,86930411,,,,
Naked Gun 33 1/3: The Final Insult,51041856,,,,
National Lampoon's Animal House,141600000,,,,
Night of the Living Dead,12000000,,,,
No Looking Back,143273,,,,
The Nun's Story,12800000,,,,
A Nightmare on Elm Street,25504513,,,,
A Nightmare On Elm Street Part 2: Freddy's Revenge,21163999,,,,
A Nightmare On Elm Street 3: Dream Warriors,44793222,,,,
A Nightmare On Elm Street: The Dream Child,22168359,,,,
Freddy's Dead: The Final Nightmare,34872033,,,,
Wes Craven's New Nightmare,18090181,,,,
Night of the Living Dead,5835247,,,,
Notorious,24464742,,,,
Never Say Never Again,55500000,,,,
The Nutcracker,2119994,,,,
Nowhere to Run,22189039,,,,
Interview with the Vampire: The Vampire Chronicles,105264608,,,,
The Nutty Professor,128814019,,,,
Die Unendliche Geschichte,21300000,,,,
Interview with the Assassin,47329,,,,
Nixon,13668249,,,,
"New York, New York",13800000,,,,
New York Stories,10763469,,,,
Obitaemyy ostrov,0,,,,
Octopussy,67900000,,,,
On Deadly Ground,38590458,,,,
One Flew Over the Cuckoo's Nest,108981275,,,,
The Offspring,1355728,,,,
On Her Majesty's Secret Service,22800000,,,,
The Omen,48570885,,,,
The Omega Code,12610552,,,,
Out of Africa,79096868,,,,
Out of the Dark,419428,,,,
Ordinary People,52302978,,,,
The Other Side of Heaven,4720371,,,,
On the Down Low,1987,,,,
Othello,2844379,,,,
On the Outs,49772,,,,
On the Waterfront,9600000,,,,
Outbreak,67823573,,,,
The Outsiders,25697647,,,,
The Oxford Murders,3607,,,,
Police Academy,81198894,,,,
Police Academy 7: Mission to Moscow,126247,,,,
Paa,199228,,,,
Pale Rider,41410568,,,,
Patriot Games,83287363,,,,
The Pallbearer,5656388,,,,
Pocahontas,141579773,,,,
Pocketful of Miracles,5000000,,,,
PCU,4333569,,,,
Pete's Dragon,36000000,,,,
Pat Garrett and Billy the Kid,8000000,,,,
Poltergeist,74706019,,,,
Poltergeist III,14114000,,,,
Phantasm II,7000000,,,,
Phenomenon,104636382,,,,
Philadelphia,77324422,,,,
The Phantom,17220599,,,,
Pi,3221152,,,,
Pink Flamingos,413802,,,,
The Pirate,2956000,,,,
The Planet of the Apes,33395426,,,,
The Player,21706101,,,,
Apollo 13,172070496,,,,
Platoon,137963328,,,,
Panic,779137,,,,
The Adventures of Pinocchio,15382170,,,,
Pandora's Box,881950,,,,
Pink Narcissus,8231,,,,
Penitentiary,287000,,,,
The Pursuit of D.B. Cooper,2104164,,,,
Poetic Justice,27450453,,,,
Porky's,109492484,,,,
"Peace, Propaganda and the Promised Land",4930,,,,
Popeye,49823037,,,,
Predator 2,28317513,,,,
Predator,59735548,,,,
The Princess Bride,30857000,,,,
Prison,354704,,,,
LÈon,19284974,,,,
Prophecy,21000000,,,,
The Prince of Tides,74787599,,,,
Proud,0,,,,
Pretty Woman,178406268,,,,
Partition,0,,,,
The Postman Always Rings Twice,12200000,,,,
