name,parent,value
Origin,,
2013052,Starter,Drama
23341568,Starter,Drama
33200000,Starter,Western
1500000,Starter,Drama
24741667,,
0,Starter,Thriller/Suspense
4055,Starter,Comedy
20844907,Starter,Action
9709597,Starter,Drama
6719300,Starter,Comedy
7881335,Starter,Comedy
95204,Starter,Drama
36145695,Starter,Comedy
144833357,Starter,Comedy
1250798,Starter,Comedy
42993774,Starter,Drama
3600000,,
6260,Starter,Drama
163214286,Starter,Musical
9482579,Starter,Romantic Comedy
2712293,,
38119483,Starter,Comedy
121248145,Starter,Action
60054449,Starter,Action
2000000,Starter,Thriller/Suspense
15000000,Starter,Comedy
7000000,,
62599495,Starter,Comedy
11227824,Starter,Action
108185706,Starter,Adventure
59950623,Starter,Adventure
5494,,
134218018,Starter,Adventure
57362581,Starter,Action
12000000,,
33312,Starter,Documentary
2221994,Starter,Thriller/Suspense
30306268,Starter,Action
82258456,Starter,Adventure
76471046,Starter,Adventure
109713132,Starter,Adventure
52287414,Starter,Drama
9286314,Starter,Action
13500000,,
33423000,Starter,Action
79912963,Starter,Adventure
220944,,
159616327,,
304602,Starter,Drama
52210049,Starter,Action
74888996,Starter,Action
75671262,Starter,Adventure
85300000,Starter,Comedy
32773011,Starter,Comedy
460998007,Starter,Adventure
1310470,Starter,Drama
0,Starter,Comedy
7000000,,
18272447,Starter,Drama
69582,,
271736,Starter,Action
8000000,,
7800000,,
46800000,Starter,Action
245359,Starter,Comedy
4505922,Starter,Comedy
184925485,Starter,Musical
4306697,Starter,Drama
5400000,,
247740,Starter,Documentary
26936265,Starter,Comedy
0,,
1687311,Starter,Drama
32014993,Starter,Drama
3468572,Starter,Drama
26572439,Starter,Horror
8025872,Starter,Horror
44853581,Starter,Action
53854588,Starter,Romantic Comedy
13000000,,
21284514,Starter,Black Comedy
8000000,,
7888000,Starter,Comedy
18582965,Starter,Thriller/Suspense
0,Starter,Horror
1110186,Starter,Drama
2210408,Starter,Drama
125169,Starter,Comedy
4064333,Starter,Action
176786701,Starter,Action
63600000,Starter,Action
0,,
24769466,Starter,Thriller/Suspense
2500000,Starter,Romantic Comedy
50621733,Starter,Thriller/Suspense
886410,Starter,Drama
19800,,
13000000,Starter,Thriller/Suspense
11784569,Starter,Horror
37400000,Starter,Adventure
56505000,Starter,Western
1500711,Starter,Drama
78656813,Starter,Adventure
42273609,Starter,Adventure
63408614,Starter,Action
135265915,Starter,Adventure
6000000,,
35856053,Starter,Drama
16501785,Starter,Drama
6800000,,
7190505,Starter,Comedy
617172,Starter,Documentary
146282411,Starter,Action
204859496,Starter,Action
506793,Starter,Drama
38019031,Starter,Action
16667084,Starter,Action
12281000,Starter,Thriller/Suspense
26918576,Starter,Action
14400000,,
195043,,
1161843,Starter,Thriller/Suspense
529766,Starter,Black Comedy
108766007,Starter,Drama
119394839,Starter,Action
37227,Starter,Drama
177200000,Starter,Comedy
25857416,Starter,Drama
7000000,,
111936388,Starter,Comedy
241888385,Starter,Action
116000000,,
21100000,Starter,Drama
121016,,
191796233,Starter,Adventure
29500000,Starter,Horror
2483790,Starter,Thriller/Suspense
6157157,,
9054736,Starter,Drama
50024083,Starter,Action
76270454,Starter,Action
18826490,Starter,Comedy
2938532,Starter,Drama
2120439,Starter,Horror
659000,Starter,Comedy
146072,Starter,Comedy
9132000,,
19637147,Starter,Horror
53977250,Starter,Drama
23998226,Starter,Action
0,,
50327960,Starter,Action
2025032,Starter,Drama
4741987,Starter,Drama
3347647,Starter,Drama
16137,Starter,Comedy
10941801,Starter,Documentary
2922988,Starter,Comedy
154112492,Starter,Comedy
34729091,Starter,Adventure
10229300,Starter,Adventure
9170214,Starter,Drama
7369373,Starter,Horror
13000000,Starter,Musical
1287480,Starter,Romantic Comedy
509424,Starter,Western
43848100,Starter,Drama
Unknown,,
2000000,,
110719,,
Unknown,,
10555348,Starter,Comedy
65011757,Starter,Thriller/Suspense
6448817,Starter,Action
74433837,Starter,Thriller/Suspense
8824553,Starter,Horror
12500000,,
3902679,Starter,Horror
81525,,
43700000,,
1652472,Starter,Comedy
4198137,Starter,Comedy
65532576,Starter,Thriller/Suspense
88246220,Starter,Action
4000000,,
121697323,Starter,Comedy
25052000,Starter,Western
28202232,Starter,Musical
56679192,Starter,Thriller/Suspense
21750000,,
204632868,Starter,Horror
17378193,Starter,Drama
4000000,,
26792700,Starter,Drama
44726644,Starter,Western
86300000,,
39012241,Starter,Musical
43100000,Starter,Action
16892,Starter,Documentary
19739000,Starter,Adventure
66941559,Starter,Comedy
38177966,Starter,Romantic Comedy
94784201,Starter,Adventure
54702,Starter,Drama
0,,
80048433,Starter,Action
12234694,Starter,Action
3287435,Starter,Drama
57139723,Starter,Comedy
41867960,Starter,Horror
71985628,Starter,Horror
24375436,Starter,Thriller/Suspense
10744,Starter,Romantic Comedy
36895141,Starter,Action
229311,,
9055010,Starter,Romantic Comedy
166112167,Starter,Action
1442338,Starter,Drama
541636,Starter,Comedy
81159365,Starter,Thriller/Suspense
16248701,Starter,Drama
13084595,Starter,Drama
37035515,Starter,Comedy
45064915,Starter,Horror
28638916,Starter,Horror
18947630,Starter,Drama
44875481,Starter,Comedy
3149034,Starter,Drama
22991379,Starter,Drama
42023715,Starter,Drama
22235901,Starter,Romantic Comedy
93354918,Starter,Romantic Comedy
210614939,Starter,Action
39568996,Starter,Horror
60652036,Starter,Action
15738632,Starter,Drama
9821335,Starter,Comedy
53606916,Starter,Western
37939782,Starter,Romantic Comedy
109449237,Starter,Comedy
74494381,Starter,Drama
120146040,Starter,Comedy
18306166,Starter,Drama
26218170,Starter,Thriller/Suspense
1196321,Starter,Drama
120776832,Starter,Romantic Comedy
134624,,
34543701,Starter,Action
69951824,Starter,Drama
16930884,Starter,Thriller/Suspense
81612565,Starter,Adventure
17266505,Starter,Comedy
116724075,Starter,Drama
3076425,Starter,Musical
31749894,Starter,Adventure
1222889,Starter,Drama
16323969,Starter,Comedy
57262492,Starter,Comedy
40803000,Starter,Romantic Comedy
162798565,Starter,Adventure
10719367,Starter,Thriller/Suspense
50068310,Starter,Thriller/Suspense
1253413,Starter,Comedy
294244,,
22498520,Starter,Comedy
3203044,Starter,Romantic Comedy
21078145,Starter,Drama
25857987,Starter,Action
28328132,Starter,Action
7459300,Starter,Drama
599903,Starter,Drama
24646936,Starter,Comedy
172956409,Starter,Action
18848430,Starter,Drama
7221458,Starter,Drama
22406362,Starter,Western
25482931,Starter,Comedy
353480,Starter,Drama
127214072,Starter,Comedy
48114556,Starter,Comedy
334191110,Starter,Adventure
13395939,Starter,Comedy
120620,Starter,Drama
58183966,Starter,Drama
47795018,Starter,Action
80930630,Starter,Horror
21835784,Starter,Comedy
15527125,Starter,Western
32522352,Starter,Comedy
100289690,Starter,Comedy
242704995,Starter,Comedy
184255,Starter,Drama
5178569,Starter,Horror
10115431,Starter,Adventure
74058698,Starter,Thriller/Suspense
1779284,Starter,Drama
0,Starter,Adventure
217326974,Starter,Comedy
14208384,Starter,Drama
34297191,Starter,Adventure
5719000,Starter,Drama
130058047,Starter,Drama
7013191,Starter,Comedy
7314027,Starter,Black Comedy
14246488,Starter,Drama
33201661,Starter,Comedy
6719864,Starter,Drama
130164645,Starter,Drama
16298046,Starter,Horror
44212592,Starter,Drama
927107,Starter,Drama
5383834,Starter,Drama
145096820,Starter,Comedy
104354205,Starter,Comedy
101800948,Starter,Comedy
15070285,Starter,Black Comedy
6003587,Starter,Drama
93607673,Starter,Romantic Comedy
65233369,Starter,Horror
31526393,Starter,Horror
65598907,Starter,Horror
58403409,Starter,Musical
84136909,Starter,Comedy
